==================================================
LOG ANALYSIS REPORT
Generated: 2026-06-11 07:35:24
==================================================

--- SUMMARY ---
Total Events : 20
By Status    : {'SUCCESS': 8, 'FAILED': 12}
By Action    : {'LOGIN': 17, 'LOGOUT': 1, 'FILE_ACCESS': 1, 'FILE_DELETE': 1}

--- FILTERED EVENTS ---
{'timestamp': '2024-06-01T08:01:12', 'username': 'alice', 'ip_address': '192.168.1.10', 'action': 'LOGIN', 'status': 'SUCCESS', 'country': 'US', 'device': 'Windows', 'resource': '/dashboard'}
{'timestamp': '2024-06-01T08:03:45', 'username': 'bob', 'ip_address': '192.168.1.22', 'action': 'LOGIN', 'status': 'FAILED', 'country': 'US', 'device': 'Mac', 'resource': '/dashboard'}
{'timestamp': '2024-06-01T08:03:50', 'username': 'bob', 'ip_address': '192.168.1.22', 'action': 'LOGIN', 'status': 'FAILED', 'country': 'US', 'device': 'Mac', 'resource': '/dashboard'}
{'timestamp': '2024-06-01T08:03:55', 'username': 'bob', 'ip_address': '192.168.1.22', 'action': 'LOGIN', 'status': 'FAILED', 'country': 'US', 'device': 'Mac', 'resource': '/dashboard'}
{'timestamp': '2024-06-01T08:04:10', 'username': 'bob', 'ip_address': '192.168.1.22', 'action': 'LOGIN', 'status': 'FAILED', 'country': 'US', 'device': 'Mac', 'resource': '/dashboard'}
{'timestamp': '2024-06-01T08:04:30', 'username': 'bob', 'ip_address': '192.168.1.22', 'action': 'LOGIN', 'status': 'FAILED', 'country': 'US', 'device': 'Mac', 'resource': '/dashboard'}
{'timestamp': '2024-06-01T08:05:00', 'username': 'charlie', 'ip_address': '10.0.0.5', 'action': 'LOGIN', 'status': 'SUCCESS', 'country': 'UK', 'device': 'Linux', 'resource': '/admin'}
{'timestamp': '2024-06-01T08:10:00', 'username': 'alice', 'ip_address': '192.168.1.10', 'action': 'LOGOUT', 'status': 'SUCCESS', 'country': 'US', 'device': 'Windows', 'resource': '/dashboard'}
{'timestamp': '2024-06-01T08:15:00', 'username': 'eve', 'ip_address': '203.0.113.9', 'action': 'LOGIN', 'status': 'FAILED', 'country': 'RU', 'device': 'Unknown', 'resource': '/admin'}
{'timestamp': '2024-06-01T08:15:05', 'username': 'eve', 'ip_address': '203.0.113.9', 'action': 'LOGIN', 'status': 'FAILED', 'country': 'RU', 'device': 'Unknown', 'resource': '/admin'}
{'timestamp': '2024-06-01T08:15:10', 'username': 'eve', 'ip_address': '203.0.113.9', 'action': 'LOGIN', 'status': 'FAILED', 'country': 'RU', 'device': 'Unknown', 'resource': '/admin'}
{'timestamp': '2024-06-01T08:15:15', 'username': 'eve', 'ip_address': '203.0.113.9', 'action': 'LOGIN', 'status': 'FAILED', 'country': 'RU', 'device': 'Unknown', 'resource': '/admin'}
{'timestamp': '2024-06-01T08:15:20', 'username': 'eve', 'ip_address': '203.0.113.9', 'action': 'LOGIN', 'status': 'FAILED', 'country': 'RU', 'device': 'Unknown', 'resource': '/admin'}
{'timestamp': '2024-06-01T08:15:25', 'username': 'eve', 'ip_address': '203.0.113.9', 'action': 'LOGIN', 'status': 'FAILED', 'country': 'RU', 'device': 'Unknown', 'resource': '/admin'}
{'timestamp': '2024-06-01T08:15:30', 'username': 'eve', 'ip_address': '203.0.113.9', 'action': 'LOGIN', 'status': 'FAILED', 'country': 'RU', 'device': 'Unknown', 'resource': '/admin'}
{'timestamp': '2024-06-01T09:00:00', 'username': 'charlie', 'ip_address': '10.0.0.5', 'action': 'FILE_ACCESS', 'status': 'SUCCESS', 'country': 'UK', 'device': 'Linux', 'resource': '/secret_docs'}
{'timestamp': '2024-06-01T09:30:00', 'username': 'alice', 'ip_address': '192.168.1.10', 'action': 'LOGIN', 'status': 'SUCCESS', 'country': 'US', 'device': 'Windows', 'resource': '/dashboard'}
{'timestamp': '2024-06-01T10:00:00', 'username': 'dave', 'ip_address': '192.168.1.50', 'action': 'LOGIN', 'status': 'SUCCESS', 'country': 'US', 'device': 'Mac', 'resource': '/reports'}
{'timestamp': '2024-06-01T10:05:00', 'username': 'dave', 'ip_address': '192.168.1.50', 'action': 'FILE_DELETE', 'status': 'SUCCESS', 'country': 'US', 'device': 'Mac', 'resource': '/reports/q1.csv'}
{'timestamp': '2024-06-01T10:30:00', 'username': 'admin', 'ip_address': '127.0.0.1', 'action': 'LOGIN', 'status': 'SUCCESS', 'country': 'US', 'device': 'Linux', 'resource': '/admin'}
